Alias	Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	ENA_FIRST_PUBLIC	ENA_LAST_UPDATE	ENA_checklist	Experiment	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	SRA_accession	Sample_Name	Title	collected_by	collection_date	geo_loc_name	geographic_location_country_and_or_sea	host	host_disease	host_health_state	isolate	isolation_source	lat_lon	strain	Consent
B pertussis PCR-free	OTHER		72	PRJEB2022	SAMEA874069		SC	sra	ncbi		2010-02-26	2018-11-16		ERX002162	SC	Wellcome Sanger Institute	2010-02-26T10:45:17Z	2018-03-09T09:51:56Z	public	0	Illumina Genome Analyzer	PAIRED	RANDOM	GENOMIC	no-PCR-sc-B-pertussis-PCR-free-1	2014-05-26	458	214	Bordetella pertussis	ILLUMINA	2010-08-04	ERR007506	ERS001338	ERP000076	ERS001338	SAMEA874069 ERS001338	Bordetella pertussis											27	public
Bpertussis	OTHER		74	PRJEB2022	SAMEA874070		SC	sra	ncbi		2010-02-26	2018-11-16		ERX002163	SC	Wellcome Sanger Institute	2010-02-26T10:45:17Z	2018-03-09T09:51:56Z	public	0	Illumina Genome Analyzer	PAIRED	RANDOM	GENOMIC	no-PCR-sc-Bpertussis-1	2014-05-26	212	105	Bordetella pertussis	ILLUMINA	2010-03-15	ERR007509	ERS001339	ERP000076	ERS001339	SAMEA874070 ERS001339	Bordetella pertussis											27	public
Bpertussis	OTHER		74	PRJEB2022	SAMEA874070		SC	sra	ncbi		2010-02-26	2018-11-16		ERX002163	SC	Wellcome Sanger Institute	2010-02-26T10:45:17Z	2018-03-09T09:51:56Z	public	0	Illumina Genome Analyzer	PAIRED	RANDOM	GENOMIC	no-PCR-sc-Bpertussis-1	2014-05-26	202	102	Bordetella pertussis	ILLUMINA	2010-03-15	ERR007510	ERS001339	ERP000076	ERS001339	SAMEA874070 ERS001339	Bordetella pertussis											27	public
Bor	OTHER		72	PRJEB2022	SAMEA874077		SC	sra	ncbi		2010-02-26	2018-11-16		ERX002219	SC	Wellcome Sanger Institute	2010-02-26T10:45:20Z	2018-03-09T09:51:55Z	public	0	Illumina Genome Analyzer	PAIRED	RANDOM	GENOMIC	no-PCR-sc-no-PCR-sc-Bor-1	2014-05-27	430	317	Bordetella pertussis	ILLUMINA	2010-08-04	ERR007648	ERS001361	ERP000076	ERS001361	SAMEA874077 ERS001361	Bordetella pertussis												public
B.pertussis1	OTHER		152	PRJEB2022	SAMEA874078		SC	sra	ncbi		2010-02-26	2018-11-16		ERX002218	SC	Wellcome Sanger Institute	2010-02-26T10:45:20Z	2018-03-09T09:51:55Z	public	0	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	no-PCR-sc-no-PCR-sc-B.pertussis1-1	2014-05-27	864	522	Bordetella pertussis	ILLUMINA	2010-08-04	ERR007653	ERS001360	ERP000076	ERS001360	SAMEA874078 ERS001360	Bordetella pertussis												public
PT2019_2-sc-2010-05-07-9626	WGS		108	PRJEB2274	SAMEA751483		SC	sra	sra-sos	sra-sos.public	2010-09-24	2018-11-16		ERX007958	SC	Wellcome Sanger Institute	2010-03-05T16:57:10Z	2018-03-09T09:59:20Z	public	200	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	PT2019_2 1	2014-05-29	592	415	Bordetella pertussis	ILLUMINA	2011-03-15	ERR019585	ERS005405	ERP000331	ERS005405	SAMEA751483 ERS005405	Bordetella pertussis												public
IS5840_2-sc-2010-05-07-9067	WGS		115	PRJEB2274	SAMEA751272		SC	sra	ncbi		2010-09-24	2018-11-16	ERC000011	ERX2009152	SC	Wellcome Sanger Institute	2010-03-05T16:56:02Z	2018-03-09T09:52:03Z	public	199	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT204400G	2012-07-22	203	120	Bordetella pertussis	ILLUMINA	2011-03-18	ERR019587	ERS005370	ERP000331	ERS005370	SAMEA751272 ERS005370	Bordetella pertussis; Bordetella pertussis		1993		Senegal			disease	IS5840			B240	public
IS8205_2-sc-2010-05-07-9068	WGS		115	PRJEB2274	SAMEA751275		SC	sra	ncbi		2010-09-24	2018-11-16	ERC000011	ERX2009162	SC	Wellcome Sanger Institute	2010-03-05T16:56:04Z	2018-03-09T09:56:45Z	public	201	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT204410I	2012-07-22	371	226	Bordetella pertussis	ILLUMINA	2011-03-18	ERR019589	ERS005372	ERP000331	ERS005372	SAMEA751275 ERS005372	Bordetella pertussis; Bordetella pertussis		1993		Senegal			disease	IS8205			B241	public
2146970_2-sc-2010-05-07-9070	WGS		115	PRJEB2274	SAMEA751277		SC	sra	ncbi		2010-09-24	2018-11-16	ERC000011	ERX2009160	SC	Wellcome Sanger Institute	2010-03-05T16:56:08Z	2018-03-09T09:52:03Z	public	197	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT204408O	2012-07-22	298	178	Bordetella pertussis	ILLUMINA	2011-03-18	ERR019598	ERS005373	ERP000331	ERS005373	SAMEA751277 ERS005373	Bordetella pertussis; Bordetella pertussis		1997		Poland			disease	2146/97			B226	public
2035970_2-sc-2010-05-07-9069	WGS		115	PRJEB2274	SAMEA751266		SC	sra	ncbi		2010-09-24	2018-11-16	ERC000011	ERX2009161	SC	Wellcome Sanger Institute	2010-03-05T16:56:09Z	2018-03-09T09:52:05Z	public	195	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT204409P	2012-07-22	204	122	Bordetella pertussis	ILLUMINA	2011-03-18	ERR019588	ERS005374	ERP000331	ERS005374	SAMEA751266 ERS005374	Bordetella pertussis; Bordetella pertussis		1997		Poland			disease	2035/97			B225	public
5216740_2-sc-2010-05-07-9073	WGS		115	PRJEB2274	SAMEA751268		SC	sra	ncbi		2010-09-24	2018-11-16	ERC000011	ERX2009157	SC	Wellcome Sanger Institute	2010-03-05T16:56:14Z	2018-03-09T09:52:00Z	public	200	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT204405L	2012-07-22	164	99	Bordetella pertussis	ILLUMINA	2011-03-18	ERR019595	ERS005376	ERP000331	ERS005376	SAMEA751268 ERS005376	Bordetella pertussis; Bordetella pertussis		1974		Poland			disease	5216/74			B233	public
2955740_2-sc-2010-05-07-9072	WGS		115	PRJEB2274	SAMEA751270		SC	sra	ncbi		2010-09-24	2018-11-16	ERC000011	ERX2009158	SC	Wellcome Sanger Institute	2010-03-05T16:56:15Z	2018-03-09T09:52:00Z	public	226	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT204406M	2012-07-22	281	172	Bordetella pertussis	ILLUMINA	2011-03-18	ERR019596	ERS005377	ERP000331	ERS005377	SAMEA751270 ERS005377	Bordetella pertussis; Bordetella pertussis		1974		Poland			disease	2955/74			B230	public
1326620_2-sc-2010-05-07-9071	WGS		115	PRJEB2274	SAMEA751279		SC	sra	ncbi		2010-09-24	2018-11-16	ERC000011	ERX2009159	SC	Wellcome Sanger Institute	2010-03-05T16:56:17Z	2018-03-09T09:59:40Z	public	206	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT204407N	2012-07-22	121	73	Bordetella pertussis	ILLUMINA	2011-03-18	ERR019597	ERS005378	ERP000331	ERS005378	SAMEA751279 ERS005378	Bordetella pertussis; Bordetella pertussis		1962		Poland			disease	1326/62			B223	public
126690_2-sc-2010-05-07-9075	WGS		115	PRJEB2274	SAMEA751283		SC	sra	ncbi		2010-09-24	2018-11-16	ERC000011	ERX2009155	SC	Wellcome Sanger Institute	2010-03-05T16:56:17Z	2018-03-09T09:59:40Z	public	192	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT204403J	2012-07-22	355	212	Bordetella pertussis	ILLUMINA	2011-03-18	ERR019593	ERS005379	ERP000331	ERS005379	SAMEA751283 ERS005379	Bordetella pertussis; Bordetella pertussis		1998		Poland			disease	1266/98			B222	public
2245950_2-sc-2010-05-07-9077	WGS		115	PRJEB2274	SAMEA751386		SC	sra	ncbi		2010-09-24	2018-11-16	ERC000011	ERX2009153	SC	Wellcome Sanger Institute	2010-03-05T16:56:21Z	2018-03-09T11:56:40Z	public	200	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT204401H	2012-07-22	290	172	Bordetella pertussis	ILLUMINA	2011-03-18	ERR019591	ERS005380	ERP000331	ERS005380	SAMEA751386 ERS005380	Bordetella pertussis; Bordetella pertussis		1995		Poland			disease	2245/95			B227	public
1758970_2-sc-2010-05-07-9078	WGS		115	PRJEB2274	SAMEA751384		SC	sra	ncbi		2010-09-24	2018-11-16	ERC000011	ERX2009163	SC	Wellcome Sanger Institute	2010-03-05T16:56:23Z	2018-03-09T09:52:05Z	public	200	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT204411J	2012-07-22	315	194	Bordetella pertussis	ILLUMINA	2011-03-18	ERR019590	ERS005381	ERP000331	ERS005381	SAMEA751384 ERS005381	Bordetella pertussis; Bordetella pertussis		1997		Poland			disease	1758/97			B224	public
939980_2-sc-2010-05-07-9074	WGS		115	PRJEB2274	SAMEA751390		SC	sra	ncbi		2010-09-24	2018-11-16		ERX2009156	SC	Wellcome Sanger Institute	2010-03-05T16:56:23Z	2018-03-09T09:59:20Z	public	191	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT204404K	2012-07-22	23	15	Bordetella pertussis	ILLUMINA	2011-03-18	ERR019594	ERS005382	ERP000331	ERS005382	SAMEA751390 ERS005382	Bordetella pertussis												public
3690970_2-sc-2010-05-07-9080	WGS		115	PRJEB2274	SAMEA751388		SC	sra	ncbi		2010-09-24	2018-11-16	ERC000011	ERX2009165	SC	Wellcome Sanger Institute	2010-03-05T16:56:27Z	2018-03-09T09:59:20Z	public	202	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT204414M	2012-07-22	599	376	Bordetella pertussis	ILLUMINA	2011-03-18	ERR019601	ERS005383	ERP000331	ERS005383	SAMEA751388 ERS005383	Bordetella pertussis; Bordetella pertussis		1997		Poland			disease	3690/97			B232	public
3681970_2-sc-2010-05-07-9079	WGS		115	PRJEB2274	SAMEA751394		SC	sra	ncbi		2010-09-24	2018-11-16	ERC000011	ERX2009164	SC	Wellcome Sanger Institute	2010-03-05T16:56:27Z	2018-03-09T11:56:40Z	public	196	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT204413L	2012-07-22	580	362	Bordetella pertussis	ILLUMINA	2011-03-18	ERR019600	ERS005384	ERP000331	ERS005384	SAMEA751394 ERS005384	Bordetella pertussis; Bordetella pertussis		1997		Poland			disease	3681/97			B231	public
273980_2-sc-2010-05-07-9081	WGS		115	PRJEB2274	SAMEA751392		SC	sra	ncbi		2010-09-24	2018-11-16	ERC000011	ERX2009166	SC	Wellcome Sanger Institute	2010-03-05T16:56:29Z	2018-03-09T09:52:18Z	public	202	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT204415N	2012-07-22	774	485	Bordetella pertussis	ILLUMINA	2011-03-18	ERR019602	ERS005385	ERP000331	ERS005385	SAMEA751392 ERS005385	Bordetella pertussis; Bordetella pertussis		1998		Poland			disease	273/98			B229	public
606770_2-sc-2010-05-07-9076	WGS		115	PRJEB2274	SAMEA751399		SC	sra	ncbi		2010-09-24	2018-11-16	ERC000011	ERX2009154	SC	Wellcome Sanger Institute	2010-03-05T16:56:30Z	2018-03-09T09:52:06Z	public	203	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT204402I	2012-07-22	298	178	Bordetella pertussis	ILLUMINA	2011-03-18	ERR019592	ERS005386	ERP000331	ERS005386	SAMEA751399 ERS005386	Bordetella pertussis; Bordetella pertussis		1967		Poland			disease	606/67			B234	public
2501990_2-sc-2010-05-07-9083	WGS		115	PRJEB2274	SAMEA751397		SC	sra	ncbi		2010-09-24	2018-11-16	ERC000011	ERX2009168	SC	Wellcome Sanger Institute	2010-03-05T16:56:33Z	2018-03-09T09:52:18Z	public	206	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT204417P	2012-07-22	632	396	Bordetella pertussis	ILLUMINA	2011-03-18	ERR019604	ERS005387	ERP000331	ERS005387	SAMEA751397 ERS005387	Bordetella pertussis; Bordetella pertussis		1999		Poland			disease	2501/99			B228	public
1388980_2-sc-2010-05-07-9082	WGS		115	PRJEB2274	SAMEA751378		SC	sra	ncbi		2010-09-24	2018-11-16		ERX2009167	SC	Wellcome Sanger Institute	2010-03-05T16:56:34Z	2018-03-09T09:52:00Z	public	204	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT204416O	2012-07-22	0	0	Bordetella pertussis	ILLUMINA	2011-03-18	ERR019603	ERS005388	ERP000331	ERS005388	SAMEA751378 ERS005388	Bordetella pertussis												public
87100_2-sc-2010-05-07-9084	WGS		115	PRJEB2274	SAMEA751376		SC	sra	ncbi		2010-09-24	2018-11-16	ERC000011	ERX2009169	SC	Wellcome Sanger Institute	2010-03-05T16:56:34Z	2018-03-09T09:52:05Z	public	201	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT204418Q	2012-07-22	735	471	Bordetella pertussis	ILLUMINA	2011-03-18	ERR019605	ERS005389	ERP000331	ERS005389	SAMEA751376 ERS005389	Bordetella pertussis; Bordetella pertussis		2000		Poland			disease	871/00			B235	public
142801_2-sc-2010-05-07-9085	WGS		115	PRJEB2274	SAMEA751436		SC	sra	ncbi		2010-09-24	2018-11-16		ERX2009170	SC	Wellcome Sanger Institute	2010-03-05T16:56:36Z	2018-03-09T09:59:20Z	public	187	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT204419R	2012-07-22	0	0	Bordetella pertussis	ILLUMINA	2011-03-18	ERR019606	ERS005390	ERP000331	ERS005390	SAMEA751436 ERS005390	Bordetella pertussis												public
B0935_rpt-sc-2010-09-08-274902	WGS		116	PRJEB2274	SAMEA751135		SC	sra	ncbi		2011-02-10	2018-11-16		ERX2004013	SC	Wellcome Sanger Institute	2011-02-14T17:17:50Z	2018-03-09T09:52:41Z	public	284	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT220258M	2012-07-28	276	164	Bordetella pertussis	ILLUMINA	2011-03-18	ERR029291	ERS014202	ERP000331	ERS014202	SAMEA751135 ERS014202	Bordetella pertussis												public
B0908_rpt-sc-2010-09-08-274903	WGS		116	PRJEB2274	SAMEA751136		SC	sra	sra-sos	sra-sos.public	2011-02-10	2018-11-16	ERC000011	ERX2004014	SC	Wellcome Sanger Institute	2011-02-14T17:17:50Z	2018-03-09T11:56:40Z	public	285	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT220259N	2012-07-28	277	164	Bordetella pertussis	ILLUMINA	2011-03-18	ERR029295	ERS014203	ERP000331	ERS014203	SAMEA751136 ERS014203	Bordetella pertussis		1994		Italy			disease	02659			B116	public
B0934_rpt-sc-2010-09-08-274904	WGS		116	PRJEB2274	SAMEA751139		SC	sra	sra-sos	sra-sos.public	2011-02-10	2018-11-16	ERC000011	ERX2004015	SC	Wellcome Sanger Institute	2011-02-14T17:17:50Z	2018-03-09T11:56:40Z	public	278	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT220260G	2012-07-28	408	245	Bordetella pertussis	ILLUMINA	2011-03-18	ERR029296	ERS014204	ERP000331	ERS014204	SAMEA751139 ERS014204	Bordetella pertussis		1994		Italy			disease	15550			B123	public
B1173_rpt-sc-2010-09-08-274905	WGS		116	PRJEB2274	SAMEA751140		SC	sra	sra-sos	sra-sos.public	2011-02-10	2018-11-16	ERC000011	ERX2004016	SC	Wellcome Sanger Institute	2011-02-14T17:17:50Z	2018-03-09T09:52:41Z	public	274	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT220261H	2012-07-30	177	106	Bordetella pertussis	ILLUMINA	2011-03-18	ERR029297	ERS014205	ERP000331	ERS014205	SAMEA751140 ERS014205	Bordetella pertussis		1994		Italy			disease	05275			B117	public
B0922_rpt-sc-2010-09-08-274906	WGS		116	PRJEB2274	SAMEA751137		SC	sra	ncbi		2011-02-10	2018-11-16	ERC000011	ERX2004017	SC	Wellcome Sanger Institute	2011-02-14T17:17:50Z	2018-03-09T09:52:41Z	public	276	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT220262I	2012-07-30	312	187	Bordetella pertussis	ILLUMINA	2011-03-18	ERR029298	ERS014206	ERP000331	ERS014206	SAMEA751137 ERS014206	Bordetella pertussis		1994		Italy			disease	00307			B111	public
B0907_rpt-sc-2010-09-08-274907	WGS		116	PRJEB2274	SAMEA751138		SC	sra	ncbi		2011-02-10	2018-11-16	ERC000011	ERX2004018	SC	Wellcome Sanger Institute	2011-02-14T17:17:50Z	2018-03-09T10:03:37Z	public	275	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT220263J	2012-07-30	156	94	Bordetella pertussis	ILLUMINA	2011-03-18	ERR029299	ERS014207	ERP000331	ERS014207	SAMEA751138 ERS014207	Bordetella pertussis		1994		Italy			disease	13167			B121	public
