#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Bordetella pertussis Tohama I","Tohama I",19440,SAMEA1705933 ,PRJNA26,"Proteobacteria","Betaproteobacteria",GCA_000195715.1 ,4.08619,67.7,chromosome:NC_002929.2/BX470248.1,-,1,3856,3425,2001/11/06,2016/08/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/715/GCF_000195715.1_ASM19571v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/715/GCA_000195715.1_ASM19571v1
"Bordetella pertussis B1917","B1917",19440,SAMN02470863 ,PRJNA46277,"Proteobacteria","Betaproteobacteria",GCA_000193595.3 ,4.10219,67.7,chromosome:NZ_CP009751.1/CP009751.1,-,1,3964,3620,2014/11/13,2017/03/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/193/595/GCF_000193595.2_ASM19359v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/193/595/GCA_000193595.3_ASM19359v3
"Bordetella pertussis B1920","B1920",19440,SAMN02470864 ,PRJNA46279,"Proteobacteria","Betaproteobacteria",GCA_000193615.3 ,4.11463,67.7,chromosome:NZ_CP009752.1/CP009752.1,-,1,3989,3598,2014/11/13,2018/09/03,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/193/615/GCF_000193615.2_ASM19361v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/193/615/GCA_000193615.3_ASM19361v3
"Bordetella pertussis CS","CS",19440,SAMN02603647 ,PRJNA66287,"Proteobacteria","Betaproteobacteria",GCA_000212975.1 ,4.12424,67.7,chromosome:NC_017223.1/CP002695.1,-,1,3983,3634,2011/05/10,2017/05/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/212/975/GCF_000212975.1_ASM21297v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/212/975/GCA_000212975.1_ASM21297v1
"Bordetella pertussis 18323","18323",19440,SAMEA2272749 ,PRJEB144,"Proteobacteria","Betaproteobacteria",GCA_000306945.1 ,4.04385,67.7,chromosome:NC_018518.1/HE965805.1,-,1,3896,3533,2012/08/20,2017/03/23,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/306/945/GCF_000306945.1_ASM30694v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/306/945/GCA_000306945.1_ASM30694v1
"Bordetella pertussis 137","137",19440,SAMN02360353 ,PRJNA221122,"Proteobacteria","Betaproteobacteria",GCA_000812165.1 ,4.13459,67.7,chromosome:NZ_CP010323.1/CP010323.1,-,1,3981,3603,2014/12/31,2017/03/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/812/165/GCF_000812165.1_ASM81216v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/812/165/GCA_000812165.1_ASM81216v1
"Bordetella pertussis","D420",19440,SAMEA3354379 ,PRJEB9143,"Proteobacteria","Betaproteobacteria",GCA_001013565.1 ,4.10639,67.7,chromosome 1:NZ_LN849008.1/LN849008.1,-,1,3967,3622,2015/05/14,2017/03/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/013/565/GCF_001013565.1_BPD420,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/013/565/GCA_001013565.1_BPD420
"Bordetella pertussis","B3629",19440,SAMN03491903 ,PRJNA281570,"Proteobacteria","Betaproteobacteria",GCA_001307525.1 ,4.10115,67.7,chromosome:NZ_CP011400.1/CP011400.1,-,1,3966,3621,2015/10/07,2017/04/10,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/307/525/GCF_001307525.1_ASM130752v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/525/GCA_001307525.1_ASM130752v1
"Bordetella pertussis","B3621",19440,SAMN03491902 ,PRJNA281570,"Proteobacteria","Betaproteobacteria",GCA_001307565.1 ,4.1007,67.7,chromosome:NZ_CP011401.1/CP011401.1,-,1,3963,3614,2015/10/07,2017/04/10,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/307/565/GCF_001307565.1_ASM130756v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/565/GCA_001307565.1_ASM130756v1
"Bordetella pertussis","B1838",19440,SAMN03566780 ,PRJNA281570,"Proteobacteria","Betaproteobacteria",GCA_001307585.1 ,4.10847,67.7,chromosome:NZ_CP011440.1/CP011440.1,-,1,3967,3623,2015/10/07,2017/03/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/307/585/GCF_001307585.1_ASM130758v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/585/GCA_001307585.1_ASM130758v1
"Bordetella pertussis","B1865",19440,SAMN03566781 ,PRJNA281570,"Proteobacteria","Betaproteobacteria",GCA_001307605.1 ,4.10536,67.7,chromosome:NZ_CP011441.1/CP011441.1,-,1,3966,3620,2015/10/07,2017/03/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/307/605/GCF_001307605.1_ASM130760v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/605/GCA_001307605.1_ASM130760v1
"Bordetella pertussis","B3405",19440,SAMN03566782 ,PRJNA281570,"Proteobacteria","Betaproteobacteria",GCA_001307625.1 ,4.10999,67.7,chromosome:NZ_CP011442.1/CP011442.1,-,1,3978,3633,2015/10/07,2017/03/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/307/625/GCF_001307625.1_ASM130762v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/625/GCA_001307625.1_ASM130762v1
"Bordetella pertussis","B3582",19440,SAMN03566783 ,PRJNA281570,"Proteobacteria","Betaproteobacteria",GCA_001307645.1 ,4.10431,67.7,chromosome:NZ_CP011443.1/CP011443.1,-,1,3969,3620,2015/10/07,2017/03/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/307/645/GCF_001307645.1_ASM130764v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/645/GCA_001307645.1_ASM130764v1
"Bordetella pertussis","B3585",19440,SAMN03566784 ,PRJNA281570,"Proteobacteria","Betaproteobacteria",GCA_001307665.1 ,4.10639,67.7,chromosome:NZ_CP011444.1/CP011444.1,-,1,3970,3627,2015/10/07,2017/03/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/307/665/GCF_001307665.1_ASM130766v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/665/GCA_001307665.1_ASM130766v1
"Bordetella pertussis","B3640",19440,SAMN03566785 ,PRJNA281570,"Proteobacteria","Betaproteobacteria",GCA_001307685.1 ,4.11099,67.7,chromosome:NZ_CP011445.1/CP011445.1,-,1,3977,3630,2015/10/07,2017/03/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/307/685/GCF_001307685.1_ASM130768v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/685/GCA_001307685.1_ASM130768v1
"Bordetella pertussis","B3658",19440,SAMN03566786 ,PRJNA281570,"Proteobacteria","Betaproteobacteria",GCA_001307705.1 ,4.10325,67.7,chromosome:NZ_CP011446.1/CP011446.1,-,1,3971,3626,2015/10/07,2017/03/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/307/705/GCF_001307705.1_ASM130770v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/705/GCA_001307705.1_ASM130770v1
